Question,Answer
замена полотенцесешителя,Ремонт полотенцесушителя
Со вчерашнего вечера в ванной холодный полотенцесушитель,Ремонт полотенцесушителя
"Остывает регистр, на спуске на спуске стоят заглушки, на вентилях обломки штока",Ремонт полотенцесушителя
"Задвижка №1 открыта, №2 с обратки, нет возможности провоздушить.",Ремонт полотенцесушителя
"Течь с отсечных кранов полотенцесушителя, низкая температура.",Ремонт полотенцесушителя
Низкая температура полотенцесушителя,Ремонт полотенцесушителя
нет возможности провоздушить сломан воздушник,Ремонт полотенцесушителя
нет возможности провоздушить сломан воздушник,Ремонт полотенцесушителя
холодный полотенцесушитель,Ремонт полотенцесушителя
холодный полотенцесушитель,Ремонт полотенцесушителя
"горячей воды нет, полотенцесушитель горячий",Ремонт полотенцесушителя
провоздушить полотенце сушитель,Ремонт полотенцесушителя
холодный полотенцесушитель,Ремонт полотенцесушителя
провоздушить полотенцесушитель,Ремонт полотенцесушителя
провоздушить горячую воду и регистр,Ремонт полотенцесушителя
провоздушить,Ремонт полотенцесушителя
ппровоздушить,Ремонт полотенцесушителя
холодный регистр,Ремонт полотенцесушителя
ХОЛОДНЫЙ ПОЛОТЕНЦЕСУШИТЕЛЬ,Ремонт полотенцесушителя
провоздушить полотенцесушитель,Ремонт полотенцесушителя
в квартире холодный пототенцесушитель,Ремонт полотенцесушителя
сломался полотенцесушитель,Ремонт полотенцесушителя
холодный полотенце сушитель,Ремонт полотенцесушителя
холодный полотенцесушитель,Ремонт полотенцесушителя
С полотенцесушителя вода бьет струей воды Самостоятельно перекрыли ГВС в квартире,Ремонт полотенцесушителя
течь полотенцесушителя,Ремонт полотенцесушителя
Течь с полотенцесушителя,Ремонт полотенцесушителя
Подтекает полотенцесушитель,Ремонт полотенцесушителя
течет труба хвс,Холодное водоснабжение
перепоять хвс,Холодное водоснабжение
течет кран,Холодное водоснабжение
Тонкая струйка ХВС,Холодное водоснабжение
Плохой напор ХВС,Холодное водоснабжение
Плохой напор ХВС,Холодное водоснабжение
Плохой напор х.в. ванной,Холодное водоснабжение
не доходит холодная вода до пятого этажа,Холодное водоснабжение
Плохой напор ХВС в ванне и кухне,Холодное водоснабжение
Слабый напор ХВС во всей квартире,Холодное водоснабжение
"ХВС, грязная с осадком",Холодное водоснабжение
течёт грязная вода,Холодное водоснабжение
свищ на стояке холодной воде,Холодное водоснабжение
Течь ввода ХВС,Холодное водоснабжение
Нет ХВС во всём подъезде Что-то со стояком,Холодное водоснабжение
нет холодной воды,Холодное водоснабжение
Нет ХВС,Холодное водоснабжение
Подключить ХВС,Холодное водоснабжение
провоздушить регистр,Холодное водоснабжение
Запуск системы ХВС на 2м ТП Передала Лутова,Холодное водоснабжение
Передавливает холодная вода,Холодное водоснабжение
Нет холодной воды на кухне,Холодное водоснабжение
"В столовой, нет ХВС",Холодное водоснабжение
"Нет холодной воды, у соседей ХВС присутствует",Холодное водоснабжение
Отсутствие ХВС,Холодное водоснабжение
В туалетах на 2 и 3 этажах нет холодной воды в раковинах и не поступает вода в компакт-бачки,Холодное водоснабжение
На 1 этаже в общем туалете не поступает вода в компакт-бачок На кухне - подтекают краны,Холодное водоснабжение
"Вместо ХВС, течет горячая вода",Холодное водоснабжение
из крана холодной воды течет горячая,Холодное водоснабжение
Плохой напор ХВС на кухне,Холодное водоснабжение
Нет холодной воды для полива,Холодное водоснабжение
Из крана ХВС идет горячая вода,Холодное водоснабжение
нет давления воды,Холодное водоснабжение
В сливной бачок не поступает вода в туалете мальчиков,Холодное водоснабжение
Замена кран буксы в гр 9 и на кухне,Холодное водоснабжение
Не поступает вода на сливной бачок,Холодное водоснабжение
ЗАПАХ БЫТОВЫМИ ОТХОДАМИ,Устранение засора мусоропровода
обработать мусоропровод сильный запах,Устранение засора мусоропровода
засор мусоропровода,Устранение засора мусоропровода
засорился мусоропровод,Устранение засора мусоропровода
стоит мусоропровод,Устранение засора мусоропровода
забит мусоропровод между 3 и 4 этажом,Устранение засора мусоропровода
Засорился мусоропровод в 1-ом подъезде.,Устранение засора мусоропровода
Засорился мусоропровод в подъезде №3,Устранение засора мусоропровода
забит мусоропровод между 3 и 4 этажами,Устранение засора мусоропровода
забит мусоропровод,Устранение засора мусоропровода
грязный мусоропровод,Устранение засора мусоропровода
"не выкинуть мусор, всё забито",Устранение засора мусоропровода
дым из мусоропровода,Устранение засора мусоропровода
"Не держит вентиль гор.водоснабжения, нужно менять",Горячее водоснабжение
свищ на стояке горяей воде,Горячее водоснабжение
течь горячей воды в подвал,Горячее водоснабжение
провоздушить горячую воду,Горячее водоснабжение
Горячая вода еле теплая,Горячее водоснабжение
Чуть теплая горячая вода,Горячее водоснабжение
Холодное ГВС,Горячее водоснабжение
в ванне нет горячей воды,Горячее водоснабжение
в столовой и мед. кабинете нет гвс,Горячее водоснабжение
из крана гвс идет вода не соответствующей температуры,Горячее водоснабжение
"Холодная ГВС, холодный полотенцесушитель.",Горячее водоснабжение
из крана горячей воды течет холодная не держат отсечные вентели на стояках в подвале,Горячее водоснабжение
